Dépôt,Catégorie,Étoiles,Forks,Contributeurs,Mainteneur unique,Issues ouvertes,PR ouvertes,Commits 30j,Commits 90j,Commits 365j,Jours depuis dernier commit,Maintenance,Nb releases,Dernière release,Jours depuis release,Releases/an,Archivé,Licence,Compat. propriétaire,SECURITY.md,Advisories,Dependabot,Renovate,CI/CD,Santé %,Langage,URL projet,preuve_licence,preuve_activite
chaitin/SafeLine,Défense,21549,1412,21,non,90,4,1,1,6,229,Ralenti (>6 mois),100,v9.3.9,5,9,non,GPL-3.0,Incompatible distribution propriétaire,non,0,non,non,oui,37,Go,https://ly.safepoint.cloud/fUxS0GW,https://github.com/chaitin/SafeLine/blob/main/LICENSE,pushed_at=2026-06-17T07:35:19Z
TecharoHQ/anubis,Défense,20149,632,170,non,247,61,22,42,446,3,Active,38,v1.25.0,124,18,non,MIT,Compatible (permissive),oui,4,oui,non,oui,100,Go,https://anubis.techaro.lol/,https://github.com/TecharoHQ/anubis/blob/main/LICENSE,pushed_at=2026-06-22T00:38:49Z
bunkerity/bunkerweb,Défense,10641,621,48,non,124,38,5,336,1914,28,Active,83,v1.6.12-rc3,3,40,non,AGPL-3.0,Risque SaaS fort (copyleft réseau),oui,2,oui,non,oui,87,Python,https://www.bunkerweb.io,https://github.com/bunkerity/bunkerweb/blob/master/LICENSE,pushed_at=2026-06-22T15:52:58Z
owasp-modsecurity/ModSecurity,Défense,9680,1734,97,non,251,65,7,87,221,6,Active,38,v3.0.15,55,4,non,Apache-2.0,Compatible (permissive),oui,7,non,non,oui,62,C++,https://www.modsecurity.org,https://github.com/owasp-modsecurity/ModSecurity/blob/v3/master/LICENSE,pushed_at=2026-06-16T18:49:03Z
tiagozip/cap,Défense,6977,480,28,non,1,1,34,137,328,1,Active,100,standalone@3.1.5,14,73,non,Apache-2.0,Compatible (permissive),non,0,oui,non,oui,85,JavaScript,https://trycap.dev,https://github.com/tiagozip/cap/blob/main/LICENSE,pushed_at=2026-06-21T11:12:11Z
corazawaf/coraza,Défense,3587,326,48,non,77,25,2,44,146,18,Active,41,v3.7.0,77,4,non,Apache-2.0,Compatible (permissive),oui,2,non,oui,oui,100,Go,https://www.coraza.io,https://github.com/corazawaf/coraza/blob/main/LICENSE,pushed_at=2026-06-22T01:52:53Z
coreruleset/coreruleset,Défense,3172,459,129,non,72,39,15,50,317,0,Active,48,v4.27.0,21,16,non,Apache-2.0,Compatible (permissive),oui,2,non,oui,oui,75,Python,https://coreruleset.org,https://github.com/coreruleset/coreruleset/blob/main/LICENSE,pushed_at=2026-06-22T18:21:26Z
jeremykenedy/laravel-auth,Défense,3049,983,30,non,1,6,1,1,11,243,Ralenti (>6 mois),31,v11.1.0,243,2,non,MIT,Compatible (permissive),non,0,oui,non,oui,71,JavaScript,https://laravel-auth.com/,https://github.com/jeremykenedy/laravel-auth/blob/master/LICENSE,pushed_at=2026-06-22T18:15:04Z
mewebstudio/captcha,Défense,2577,462,57,non,133,0,2,6,9,14,Faible,59,3.5.0,14,4,non,MIT,Compatible (permissive),non,0,non,non,non,42,PHP,,https://github.com/mewebstudio/captcha/blob/master/LICENSE,pushed_at=2026-06-08T01:59:02Z
altcha-org/altcha,Défense,2484,121,1,oui,1,0,9,48,53,5,Active,73,v3.1.0,11,21,non,MIT,Compatible (permissive),oui,0,non,non,oui,100,TypeScript,https://altcha.org,https://github.com/altcha-org/altcha/blob/main/LICENSE,pushed_at=2026-06-17T07:12:12Z
